,name_set,part_num,name,freq
95970,Enchanted Island,973pr1991c01,"Torso Police Shirt with Gold Badge, Dark Blue Tie and Wrinkles Print / Medium Blue Arms / Light Flesh Hands",1
95971,Enchanted Island,973pr2047c01,Torso Spider-Man Costume 4 Pattern / Blue Arms / Red Hands ,1
95972,Enchanted Island,973pr2625c01,Torso Lab Coat with Pockets over Bright Green Shirt Print (Doc Ock) / White Arms / Yellow Hands,1
95973,Enchanted Island,98282,Mudguard 4 x 2 1/2 x 1 with Arch Round,1
95986,Harbor Sentry,2551,Rowing Boat 14 x 5 x 2 with Oarlocks,1
95987,Harbor Sentry,2560,Boat Hull Large Middle 8 x 16 x 2 1/3 with 9 Holes,1
95989,Harbor Sentry,2586px14,Minifig Shield - Ovoid with Crown on Dark/Med Blue Quarters Print,1
95990,Harbor Sentry,2587pr19,"Minifig Breastplate with Leg Protection, Fantasy Era Crown Print",1
95991,Harbor Sentry,2594,Minifig Helmet Visor Castle,1
95992,Harbor Sentry,2714a,"Bar 8L - Two Stop Rings / One  Pin, Technic Figure Ski Pole [Rounded End]",1
95998,Harbor Sentry,30055,Fence Spindled 1 x 4 x 2 [2 Top Studs],1
96018,Harbor Sentry,30516,Turntable 4 x 4 Locking Grooved Base,1
96021,Harbor Sentry,30658,"Turntable 4 x 4 Top, Locking",1
96037,Harbor Sentry,3626bpr0348,"Minifig Head Male - Messy Black Hair, Goatee Print [Blocked Open Stud]",1
96038,Harbor Sentry,3626bpr0433,Minifig Head - Light Brown Beard with Sideburns and Eyebrows Print [Blocked Open Stud],1
96039,Harbor Sentry,3626bpr0511,Minifig Head with Red Eyes and Lower Fangs Print [Blocked Open Stud],1
96054,Harbor Sentry,40378,Dinosaur Tail / Neck Middle Section with Pin,1
96057,Harbor Sentry,40395,Dinosaur Tail / Neck Base Section with Black Pin,1
96074,Harbor Sentry,47757,Wedge 4 x 4 Pyramid Center,1
96076,Harbor Sentry,48002a,Boat Mast 2 x 2 x 20 with Holes - Side Aligned x shape Axle Hole,1
96079,Harbor Sentry,51342pat0006a,"Dragon Wing 19 x 11, Dark Green Trailing Edge",1
96080,Harbor Sentry,51874pat0003,Dragon Tail Barbed with Marbled Metallic Gold Pattern,1
96085,Harbor Sentry,53452,Boat Hull Viking Bow / Stern,1
96089,Harbor Sentry,59217pat01,Dragon Arm with Black Claws - Left,1
96090,Harbor Sentry,59218pat01,Dragon Arm with Black Claws - Right,1
96091,Harbor Sentry,59224pat0003,Dragon Torso (Fantasy Era) with Metallic Silver Dorsal Scales Pattern,1
96092,Harbor Sentry,59225c01,Serpent Neck S-Curve with Moveable Ball Joint Pin,1
96093,Harbor Sentry,59227pr03,Dragon Head Lower Jaw with White Teeth Print [Dark Green],1
96101,Harbor Sentry,60639c02,"Arm Troll, Right with Pearl Dark Gray Wristband",1
96102,Harbor Sentry,60640,"Hand Troll, Right with Technic Pin",1
96103,Harbor Sentry,60641,"Hand Troll, Left with Technic Pin",1
96104,Harbor Sentry,60642c02,"Arm Troll, Left with Pearl Dark Gray Wristband",1
96105,Harbor Sentry,60671,"Body Giant, Fantasy Era Troll with Pearl Dark Gray Armor",1
96106,Harbor Sentry,60674,Minifig Troll Club,1
96107,Harbor Sentry,60748,Minifig Helmet Castle with Cheek Protection and Studded Bands,1
96108,Harbor Sentry,60750,"Minifig Beard, Tied with Hair in Back",1
96117,Harbor Sentry,61639pr0001,Dragon Head - Upper Jaw with Metallic Silver Armour and Yellow Eyes Print,1
